tolerance,agreement,kappa
0.0,0.41762954139368674,0.18236221940037578
0.01,0.41762954139368674,0.18236221940037578
0.02,0.41762954139368674,0.1823021755704538
0.03,0.417748659916617,0.18225929715936318
0.04,0.4183442525312686,0.1822547369748153
0.05,0.41858248957712924,0.18201852683546893
0.06,0.4197736748064324,0.18234081657692391
0.07,0.42167957117331745,0.18328164769901412
0.08,0.4237045860631328,0.18391194360801766
0.09,0.4238237045860631,0.1837176880748802
0.1,0.4265634306134604,0.18379114860142176
0.11,0.4265634306134604,0.1835782781862807
0.12,0.4283502084574151,0.18112280530304614
0.13,0.4283502084574151,0.17983320614461762
0.14,0.4291840381179273,0.18056881367222977
0.15,0.43454437164979154,0.18091527692154707
0.16,0.4346634901727219,0.1802499650333378
0.17,0.4385944014294223,0.18257275564195485
0.18,0.43930911256700417,0.18264938551738474
0.19,0.43966646813579513,0.18229821898328213
0.2,0.4464562239428231,0.17971955734640477
0.21,0.44681357951161405,0.18015395526543332
0.22,0.44764740917212625,0.18081845816421538
0.23,0.4480047647409172,0.18042659901949765
0.24,0.45050625372245384,0.18115291052332616
0.25,0.45134008338296605,0.17778298033221784
0.26,0.4515783204288267,0.17765675222822952
0.27,0.4524121500893389,0.17819853236014238
0.28,0.4534842167957117,0.1762865367471117
0.29,0.45443716497915426,0.17564441995118407
0.3,0.45586658725431806,0.17637327749413645
0.31,0.4557474687313877,0.17583417429281512
0.32,0.4571768910065515,0.1775106747703563
0.33,0.4570577724836212,0.17729764004947168
0.34,0.4686122692078618,0.17365888486994674
0.35,0.46896962477665277,0.17397962235383158
0.36,0.46968433591423464,0.1744205819051351
0.37,0.4700416914830256,0.17393498475170444
0.38,0.4702799285288862,0.1725200258338654
0.39,0.4712328767123288,0.17137088964736968
0.4,0.47325789160214415,0.1698869974278201
0.41,0.4730196545562835,0.16910108096227772
0.42,0.47278141751042285,0.167044291732524
0.43,0.476593210244193,0.1655570584586893
0.44,0.4767123287671233,0.16539946421517138
0.45,0.4771888028588446,0.16490653080212836
0.46,0.4798094103633115,0.1652250897860349
0.47,0.4799285288862418,0.1634876099406033
0.48,0.4798094103633115,0.16199302255262926
0.49,0.4808814770696843,0.16312147684609435
0.5,0.4880285884455033,0.15934158130512754
0.51,0.4882668254913639,0.1596607170094042
0.52,0.48779035139964266,0.15826466415183316
0.53,0.4880285884455033,0.15710051459751895
0.54,0.48862418106015487,0.15499231351535014
0.55,0.48790946992257295,0.15318953787371647
0.56,0.48755211435378204,0.1474790604692744
0.57,0.4880285884455033,0.14771633999309797
0.58,0.4880285884455033,0.14440554772641523
0.59,0.48838594401429425,0.14451702857526816
0.6,0.49076831447290054,0.13688679758496047
0.61,0.4908874329958309,0.1370505085332604
0.62,0.4908874329958309,0.1360174348059744
0.63,0.4908874329958309,0.1348287454152005
0.64,0.49184038117927337,0.13283008374675953
0.65,0.4914830256104824,0.13070916483328088
0.66,0.492078618225134,0.13095107285042573
0.67,0.4937462775461584,0.1246078508153895
0.68,0.4942227516378797,0.1250366172086228
0.69,0.4950565812983919,0.12557021210910024
0.7,0.4931506849315068,0.11916205801980517
0.71,0.4931506849315068,0.11900216540531805
0.72,0.49469922572960096,0.11469878952584023
0.73,0.4951756998213222,0.1151286935494894
0.74,0.49553305539011316,0.11429563722997016
0.75,0.4963668850506254,0.11057810370981558
0.76,0.496605122096486,0.11083484496357943
0.77,0.4960095294818344,0.10879619291319342
0.78,0.4931506849315068,0.09828474115693253
0.79,0.4923168552709946,0.09608715359850606
0.8,0.492078618225134,0.09164987228488009
0.81,0.4917212626563431,0.0904584359043683
0.82,0.4889815366289458,0.08259690957005383
0.83,0.4889815366289458,0.08251076289590986
0.84,0.48612269207861825,0.07516646274856553
0.85,0.4835020845741513,0.06874272213807531
0.86,0.48243001786777845,0.06518142278642824
0.87,0.48183442525312686,0.06238075399599763
0.88,0.4813579511614056,0.060542015700885465
0.89,0.48040500297796307,0.057790721262313105
0.9,0.4800476474091721,0.056651289740794586
0.91,0.48040500297796307,0.056986958815460564
0.92,0.4800476474091721,0.05602514499594724
0.93,0.48016676593210245,0.05619666922704525
0.94,0.48028588445503273,0.056368209719993234
0.95,0.48028588445503273,0.056368209719993234
0.96,0.48040500297796307,0.05653976647710379
0.97,0.48040500297796307,0.05645030628333825
0.98,0.48040500297796307,0.05645030628333825
0.99,0.48040500297796307,0.05645030628333825
1.0,0.4796902918403812,0.0
